,Unnamed: 0,text,author_id,created_at,id,clean_text,tokenised_text,sentiment,final_sentiment,fear,anger,anticip,trust,surprise,positive,negative,sadness,disgust,joy,anticipation
10,0,"https://t.co/ZJNfZ7qAYr Brunel University student, 25, found dead in flat after drug overdose https://t.co/hCXWtPmcfl",1292973107645300737,2021-04-22T07:34:48.000Z,1385134982251773952,"Brunel University student, , found dead in flat after drug overdose","['brunel', 'university', 'student', 'found', 'dead', 'in', 'flat', 'after', 'drug', 'overdose']","{'neg': 0.264, 'neu': 0.736, 'pos': 0.0, 'compound': -0.6486}",-0.6486,0.0,0.0,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,
11,1,When I was trying to be a Probation Officer in 2008 I took a 9k pay cut but secured a part time job with Brunel University as an anti social behaviour officer. Had to relinquish the role on direction of my assessor. Found a job in Sainsbury’s instead which I loved.,1165554968692215808,2021-04-22T07:33:19.000Z,1385134606563876866,When I was trying to be a Probation Officer in I took a k pay cut but secured a part time job with Brunel University as an anti social behaviour officer. Had to relinquish the role on direction of my assessor. Found a job in Sainsburys instead which I loved.,"['when', 'i', 'was', 'trying', 'to', 'be', 'a', 'probation', 'officer', 'in', 'i', 'took', 'a', 'k', 'pay', 'cut', 'but', 'secured', 'a', 'part', 'time', 'job', 'with', 'brunel', 'university', 'as', 'an', 'anti', 'social', 'behaviour', 'officer', 'had', 'to', 'relinquish', 'the', 'role', 'on', 'direction', 'of', 'my', 'assessor', 'found', 'a', 'job', 'in', 'sainsburys', 'instead', 'which', 'i', 'loved']","{'neg': 0.106, 'neu': 0.728, 'pos': 0.166, 'compound': 0.7351}",0.7351,0.0,0.0,0.0,0.2727272727272727,0.0,0.36363636363636365,0.09090909090909091,0.0,0.0,0.09090909090909091,0.18181818181818182
12,0,Strong stuff from African Poetry Prize shortlist - Brunel University News https://t.co/viDnwWXQuv,982642895349010436,2021-04-22T10:39:03.000Z,1385181348344729600,Strong stuff from African Poetry Prize shortlist - Brunel University News,"['strong', 'stuff', 'from', 'african', 'poetry', 'prize', 'shortlist', 'brunel', 'university', 'news']","{'neg': 0.0, 'neu': 0.577, 'pos': 0.423, 'compound': 0.765}",0.765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
13,1,Anyone from Brunel University would support the line about the Crown and Treaty in Uxbridge including me (retired) https://t.co/c9NGVvI78z,1038336602,2021-04-22T10:08:51.000Z,1385173746844160000,Anyone from Brunel University would support the line about the Crown and Treaty in Uxbridge including me (retired),"['anyone', 'from', 'brunel', 'university', 'would', 'support', 'the', 'line', 'about', 'the', 'crown', 'and', 'treaty', 'in', 'uxbridge', 'including', 'me', 'retired']","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4019}",0.4019,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
14,0,I got accepted in Brunel University London 🥰🥰🥰,792017721831649280,2021-04-22T11:48:31.000Z,1385198828979212288,I got accepted in Brunel University London,"['i', 'got', 'accepted', 'in', 'brunel', 'university', 'london']","{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.2732}",0.2732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
15,0,"CS5811 Distributed Data Analysis Assignment Help and Solution, Brunel University - Assessment Writing Service
https://t.co/3eXZ4qMQky
#CS5811 #DistributedDataAnalysis #AssignmentHelp #Solution #BrunelUniversity #AssessmentWritingService #UK https://t.co/5VoCSP9PxT",770970613,2021-04-22T12:44:58.000Z,1385213034440716293,"CS5811 Distributed Data Analysis Assignment Help and Solution, Brunel University - Assessment Writing Service","['cs5811', 'distributed', 'data', 'analysis', 'assignment', 'help', 'and', 'solution', 'brunel', 'university', 'assessment', 'writing', 'service']","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6124}",0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,1,"CS5810 High Performance Computational Infrastructures Assignment Help and Solution, Brunel University - Assessment Writing Service
https://t.co/0Wr5mVUSOG
#CS5810 #HighPerformanceComputationalInfrastructures #AssignmentHelp #Solution #BrunelUniversity #AssessmentWritingService https://t.co/6vewRkxhPw",770970613,2021-04-22T12:44:09.000Z,1385212830186565639,"CS5810 High Performance Computational Infrastructures Assignment Help and Solution, Brunel University - Assessment Writing Service","['cs5810', 'high', 'performance', 'computational', 'infrastructures', 'assignment', 'help', 'and', 'solution', 'brunel', 'university', 'assessment', 'writing', 'service']","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6124}",0.6124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
17,2,"A new project to develop printed Lego-style bricks from waste #construction materials has been launched at Brunel University London.

#Engineers hope to develop and demonstrate an eco-friendly cement mix that can print new, tight interlocking blocks for use in new #buildings. https://t.co/D85eyP9kTO",1510097551,2021-04-22T12:22:26.000Z,1385207364186427398,"A new project to develop printed Lego-style bricks from waste materials has been launched at Brunel University London. hope to develop and demonstrate an eco-friendly cement mix that can print new, tight interlocking blocks for use in new .","['a', 'new', 'project', 'to', 'develop', 'printed', 'legostyle', 'bricks', 'from', 'waste', 'materials', 'has', 'been', 'launched', 'at', 'brunel', 'university', 'london', 'hope', 'to', 'develop', 'and', 'demonstrate', 'an', 'ecofriendly', 'cement', 'mix', 'that', 'can', 'print', 'new', 'tight', 'interlocking', 'blocks', 'for', 'use', 'in', 'new']","{'neg': 0.102, 'neu': 0.803, 'pos': 0.095, 'compound': -0.0772}",-0.0772,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.07692307692307693,0.3076923076923077
18,0,Brunel university was the equivalent to an American HBC but not. Lol. If that makes sense?,19273656,2021-04-22T14:14:23.000Z,1385235537716465664,Brunel university was the equivalent to an American HBC but not. Lol. If that makes sense?,"['brunel', 'university', 'was', 'the', 'equivalent', 'to', 'an', 'american', 'hbc', 'but', 'not', 'lol', 'if', 'that', 'makes', 'sense']","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4585}",-0.4585,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333
19,1,Brunel University was actually like some black youth club back in the days. Lol.,19273656,2021-04-22T14:13:38.000Z,1385235349580914688,Brunel University was actually like some black youth club back in the days. Lol.,"['brunel', 'university', 'was', 'actually', 'like', 'some', 'black', 'youth', 'club', 'back', 'in', 'the', 'days', 'lol']","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.6486}",0.6486,0.125,0.125,0.0,0.0,0.125,0.125,0.125,0.125,0.0,0.125,0.125
